ФИО,Группа крови,Любимая еда,Наличие публикаций,Наличие золотой медали,Участие в олимпиадах НИУ ВШЭ,Мотивационное письмо,Мечта,Участие в подготовительных курсах НИУ ВШЭ,Частота прогулок,Участие во всероссийских олимпиадах,Хобби,Средний балл ЕГЭ,Участие в волонтерской деятельности,Средний балл аттестата,Любимый цвет,Наличие питомца,Target
Кузнецова Полина Сергеевна,II,Салат,Да,Да,Нет,3,Семья,Да,Редко,Нет,Музыка,86,Нет,4.802174627110662,Желтый,Да,0
Волков Олег Вячеславович,II,Салат,Да,Нет,Да,1,Карьерный рост,Нет,Редко,Нет,Кино,73,Да,4.562217294096872,Красный,Да,0
Новиков Дмитрий Викторович,III,Бургер,Нет,Да,Нет,5,Бизнес,Да,Ежедневно,Нет,Чтение,93,Нет,4.261550591770081,Синий,Да,0
Сидорова Людмила Павловна,IV,Бургер,Да,Нет,Да,0,Семья,Да,Несколько раз в неделю,Да,Чтение,99,Да,4.153922600639553,Зеленый,Да,1
Михайлова Валерия Романовна,I,Роллы,Да,Нет,Нет,4,Наука,Нет,Несколько раз в неделю,Да,Чтение,90,Нет,4.967730643860704,Красный,Да,0
Зайцев Иван Владимирович,I,Суши,Да,Да,Да,4,Семья,Да,Ежедневно,Да,Спортивные игры,68,Нет,4.8545902546605815,Черный,Нет,1
Федоров Артур Дмитриевич,III,Бургер,Нет,Да,Да,1,Путешествия,Да,Несколько раз в неделю,Нет,Кино,45,Да,4.806492025969274,Синий,Да,1
Михайлов Егор Константинович,II,Салат,Нет,Да,Да,1,Карьерный рост,Нет,Редко,Нет,Чтение,82,Да,4.404465446120423,Синий,Да,1
Соколова Ольга Викторовна,IV,Салат,Да,Да,-,3,Наука,-,Несколько раз в неделю,Нет,Спортивные игры,64,Да,4.62141593894666,Черный,Нет,1
Соловьева Ирина Владимировна,II,Пицца,Нет,Нет,Нет,4,Бизнес,-,Редко,Да,Туризм,63,Нет,4.720310288079392,Зеленый,Нет,0
Григорьева Полина Андреевна,IV,Роллы,Да,Да,Нет,0,Наука,-,Ежедневно,Нет,Чтение,72,Да,4.382722992740479,Черный,Да,0
Романова Алёна Артуровна,I,Роллы,-,Да,-,0,Наука,Да,Несколько раз в неделю,Да,Туризм,54,Нет,4.427821012081498,Синий,Нет,1
Морозова Виктория Викторовна,II,Суши,Нет,Нет,-,4,Семья,Да,Редко,Нет,Чтение,51,Нет,4.25005614671897,Зеленый,Нет,0
Соловьев Георгий Павлович,I,Пицца,Да,Да,Да,3,Семья,Да,Редко,Да,Чтение,68,-,4.880594632385913,Красный,Да,1
Григорьев Николай Романович,III,Пицца,Нет,Нет,Нет,4,Путешествия,Да,Редко,Нет,Кино,62,Да,4.245063669148476,Синий,Нет,0
Морозова Полина Вячеславовна,II,Бургер,Да,Да,Нет,1,Карьерный рост,Нет,Несколько раз в неделю,Да,Спортивные игры,78,Нет,4.695121142477599,Красный,Нет,1
Морозов Андрей Олегович,II,Бургер,Да,Нет,Да,1,Карьерный рост,-,Редко,-,Спортивные игры,70,Да,4.95799392239586,Желтый,Нет,1
Иванова Елена Олеговна,IV,Суши,Да,Нет,Нет,0,Карьерный рост,Нет,Ежедневно,-,Туризм,57,Да,4.169171235890927,Желтый,Нет,0
Соколов Роман Егорович,I,Суши,Нет,Да,Нет,2,Семья,-,Несколько раз в неделю,Да,Кино,65,-,4.0321294010838375,Желтый,Нет,1
Новикова Анастасия Алексеевна,III,Бургер,Да,Нет,Да,3,Бизнес,Нет,Ежедневно,Да,Спортивные игры,87,Нет,4.10648339544831,Желтый,Да,1
Соколов Алексей Николаевич,I,Бургер,Нет,Нет,Да,2,Путешествия,Да,Несколько раз в неделю,Да,Спортивные игры,57,Да,4.329164736636994,Красный,Да,1
Козлова Елена Николаевна,IV,Суши,Нет,Нет,-,0,Бизнес,Нет,Несколько раз в неделю,Нет,Спортивные игры,58,Нет,4.537349604871323,Зеленый,Да,0
Васильев Павел Константинович,III,Суши,Да,Да,Да,5,Бизнес,Нет,Редко,-,Спортивные игры,86,Нет,4.928461646080119,Желтый,Нет,1
Лебедева Вероника Алексеевна,IV,Салат,Нет,Нет,Нет,5,Семья,Да,Ежедневно,Нет,Музыка,53,Да,4.3515642833538655,Желтый,Да,0
Федорова Мария Павловна,I,Салат,Да,Да,Да,1,Бизнес,Нет,Редко,Да,Туризм,56,Да,4.215213717522614,Красный,Нет,1
Федоров Андрей Максимович,II,Роллы,Нет,Нет,Да,3,Семья,Да,Несколько раз в неделю,Да,Кино,45,Нет,4.069982368492583,Черный,Нет,1
Смирнова Ольга Романовна,II,Пицца,Нет,Нет,Нет,4,Карьерный рост,Нет,Ежедневно,Да,Чтение,78,Да,4.937968012930346,Желтый,Нет,0
Морозов Вячеслав Иванович,II,Бургер,Нет,Нет,Да,2,Семья,Да,Редко,Нет,Туризм,53,Нет,4.638790786864884,Зеленый,Да,0
Федорова Екатерина Сергеевна,I,Суши,Да,Нет,Да,4,Карьерный рост,Да,Редко,-,Спортивные игры,87,Да,4.640170987335335,Зеленый,Нет,1
Козлова Светлана Сергеевна,II,Бургер,Да,-,Да,5,Наука,Да,Редко,Да,Музыка,67,Нет,4.048911012342629,Зеленый,Да,1
Лебедева Ольга Юрьевна,III,Бургер,Да,Да,Нет,2,Наука,Нет,Несколько раз в неделю,Да,Туризм,86,Нет,4.402701993554669,Желтый,Да,1
Соколова Вероника Олеговна,I,Роллы,Да,Нет,Да,4,Наука,Да,Несколько раз в неделю,Нет,Туризм,75,Да,4.869501561894488,Красный,Да,1
Григорьев Алексей Максимович,I,Салат,Нет,Да,Нет,3,Наука,Нет,Ежедневно,-,Спортивные игры,58,-,4.645291859087109,Синий,Да,0
Соколов Андрей Вячеславович,I,Суши,Да,Да,Да,0,Путешествия,Нет,Ежедневно,Нет,Чтение,80,Да,4.520875284785411,Красный,Да,1
Иванова Людмила Ильинична,II,Суши,Да,Нет,Нет,1,Путешествия,Нет,Ежедневно,Да,Туризм,92,Нет,4.495003515761674,Черный,Да,0
Борисов Виктор Антонович,II,Салат,-,Нет,Да,2,Путешествия,Нет,Ежедневно,Да,Туризм,50,Да,4.965078243332993,Зеленый,Нет,1
Попов Дмитрий Максимович,III,Суши,Нет,Нет,-,0,Семья,Да,Несколько раз в неделю,Нет,Туризм,53,Да,4.817480745542176,Зеленый,Да,0
Кузнецов Константин Артурович,II,Пицца,Нет,-,Да,2,Наука,Нет,Несколько раз в неделю,Нет,Туризм,67,Да,4.376965761844276,Желтый,Нет,0
Васильев Виктор Георгиевич,IV,Бургер,Да,Нет,Да,2,Семья,Да,Несколько раз в неделю,Нет,Кино,62,Нет,4.161871552692625,Зеленый,Нет,0
Федорова Алиса Максимовна,III,Пицца,Нет,Нет,Да,2,Семья,Да,Редко,Нет,Кино,52,Нет,4.429221277319457,Зеленый,Да,0
Кузнецов Роман Максимович,II,Салат,Да,Нет,Да,3,Путешествия,Нет,Ежедневно,Да,Чтение,91,Нет,4.334601848751891,Зеленый,Да,1
Соловьев Владимир Вячеславович,III,Пицца,Нет,Нет,Да,2,Бизнес,Нет,Редко,Нет,Кино,73,Нет,4.326966836029329,Синий,Да,0
Лебедева Людмила Юрьевна,IV,Салат,Да,Да,Да,2,Семья,Да,Редко,Да,Чтение,51,Да,4.542381136766615,Зеленый,Да,1
Смирнова Анастасия Павловна,IV,Роллы,Нет,Да,Да,0,Путешествия,Нет,Несколько раз в неделю,Нет,Кино,75,Да,4.059192432347207,Красный,Нет,0
Романова Светлана Павловна,III,Пицца,Нет,Нет,Нет,5,Наука,Нет,Ежедневно,Нет,Туризм,67,Нет,4.153806038901495,Красный,Нет,0
Борисов Дмитрий Олегович,II,Бургер,Нет,-,Нет,1,Карьерный рост,Нет,Ежедневно,Да,Спортивные игры,60,-,4.765417887111599,Красный,Да,0
Козлов Иван Ильич,I,Суши,Нет,-,Нет,5,Путешествия,Да,Ежедневно,Нет,Туризм,43,Да,4.567183123792152,Черный,Нет,0
Козлов Юрий Георгиевич,IV,Бургер,Да,Да,Нет,5,Карьерный рост,Нет,Несколько раз в неделю,Нет,Спортивные игры,56,Да,4.541519935115494,Красный,Нет,0
Лебедева Виктория Андреевна,IV,Бургер,Нет,Да,Да,3,Наука,-,Ежедневно,Нет,Туризм,67,Да,4.378017513645014,Красный,Да,1
Волкова Зоя Ивановна,I,Бургер,Да,Нет,Да,0,Путешествия,Нет,Редко,Нет,Музыка,87,Да,4.538646741454627,Черный,Да,0
Петров Егор Сергеевич,IV,Бургер,Да,Да,Да,3,Наука,-,Несколько раз в неделю,Да,Кино,69,Нет,4.607760768339976,Синий,Нет,1
Романова Екатерина Егоровна,III,Бургер,Да,Нет,Нет,5,Карьерный рост,Нет,Несколько раз в неделю,Нет,Музыка,99,Нет,4.418019992407428,Черный,Нет,0
Григорьева Алёна Антоновна,III,Пицца,Да,-,Да,3,Бизнес,Нет,Редко,Да,Чтение,79,Да,4.561100500524675,Зеленый,Да,1
Зайцев Максим Максимович,I,Салат,Да,Да,Нет,5,Карьерный рост,Нет,Ежедневно,Да,Музыка,65,Да,4.872507958039911,Синий,Да,1
Попов Георгий Константинович,II,Салат,Да,-,Нет,3,Семья,Нет,Редко,Нет,Спортивные игры,54,Нет,4.214023220560761,Черный,Нет,0
Григорьева Ирина Константиновна,IV,Роллы,Нет,Да,Да,3,Бизнес,Да,Несколько раз в неделю,Да,Музыка,83,Да,4.840684276429228,Зеленый,Да,1
Морозов Владимир Дмитриевич,II,Пицца,Да,Нет,Да,0,Путешествия,Нет,Ежедневно,Да,Туризм,87,Нет,4.961840761770236,Красный,Нет,1
Морозова Мария Николаевна,III,Суши,-,Нет,Да,2,Путешествия,Нет,Несколько раз в неделю,Да,Туризм,53,Да,4.967077884657575,Зеленый,Нет,1
Михайлов Антон Константинович,II,Бургер,Нет,Нет,Да,1,Путешествия,Нет,Несколько раз в неделю,Да,Чтение,48,Да,4.239767248235017,Черный,Да,0
Борисова Полина Юрьевна,IV,Пицца,Нет,Нет,Да,3,Наука,Нет,Ежедневно,Да,Чтение,92,Да,4.84434460648998,Синий,Нет,1
Петрова Татьяна Юрьевна,IV,Роллы,Нет,Да,Да,3,Путешествия,Да,Ежедневно,Да,Чтение,90,Да,4.425663968050312,Зеленый,Нет,1
Лебедев Владимир Иванович,II,Роллы,Да,-,-,4,Бизнес,Нет,Несколько раз в неделю,Да,Туризм,73,Да,4.008863419128569,Синий,Нет,1
Козлов Николай Алексеевич,I,Бургер,Нет,Да,Нет,2,Семья,Да,Несколько раз в неделю,Да,Музыка,93,Нет,4.730352828718055,Черный,Да,1
Борисова Екатерина Николаевна,IV,Суши,Да,Нет,Да,3,Наука,-,Несколько раз в неделю,Да,Чтение,94,Да,4.492223416471316,Зеленый,Да,1
Зайцев Николай Максимович,III,Бургер,Да,Да,Нет,2,Наука,-,Ежедневно,Да,Туризм,74,Нет,4.775174643151806,Синий,Да,1
Григорьев Алексей Алексеевич,I,Салат,Да,Да,Нет,2,Бизнес,Да,Ежедневно,Да,Кино,54,Нет,4.895475505433193,Зеленый,Да,1
Зайцева Виктория Романовна,II,Роллы,Нет,Нет,Нет,5,Путешествия,Нет,Редко,Да,Туризм,98,Нет,4.298571027798554,Зеленый,Нет,0
Лебедев Алексей Андреевич,III,Салат,Нет,Нет,Да,4,Карьерный рост,Нет,Ежедневно,Да,Музыка,81,Нет,4.2496667726591015,Зеленый,Да,1
Петрова Надежда Егоровна,III,Салат,Нет,Да,Да,3,Карьерный рост,Да,Редко,-,Чтение,79,Да,4.124955991946665,Красный,Да,1
Федоров Илья Юрьевич,II,Бургер,Нет,Да,Нет,1,Бизнес,Да,Редко,Нет,Музыка,62,Нет,4.395030801397489,Желтый,Нет,0
Григорьева Алёна Вячеславовна,III,Пицца,Нет,Да,-,5,Семья,Да,Ежедневно,Да,Кино,72,-,4.7842170165059485,Красный,Да,1
Смирнова Надежда Олеговна,III,Роллы,Нет,Нет,Нет,1,Бизнес,Да,Редко,Да,Чтение,45,Да,4.502989891681906,Красный,Да,0
Морозова Ольга Андреевна,II,Пицца,Нет,Да,Нет,3,Карьерный рост,Да,Несколько раз в неделю,Нет,Спортивные игры,54,Да,4.386624249261036,Синий,Нет,0
Соловьев Сергей Иванович,I,Суши,Нет,Да,Да,3,Семья,Да,Несколько раз в неделю,Нет,Кино,70,Да,4.821128152511875,Синий,Нет,1
Кузнецова Анастасия Владимировна,I,Суши,Да,Нет,Нет,4,Бизнес,Да,Ежедневно,-,Музыка,79,Да,4.360250467698057,Черный,Да,0
Сидорова Анастасия Дмитриевна,II,Салат,Нет,Нет,Нет,2,Бизнес,Нет,Ежедневно,Нет,Туризм,67,Да,4.685312304185308,Синий,Нет,0
Романова Зоя Ивановна,IV,Салат,Нет,-,Нет,3,Семья,Нет,Редко,Да,Кино,73,Нет,4.590029441522511,Черный,Нет,0
Соловьев Павел Максимович,II,Пицца,Да,Нет,Нет,0,Бизнес,Да,Ежедневно,Нет,Туризм,88,Нет,4.445037361332162,Желтый,Да,0
Борисов Николай Викторович,IV,Пицца,Нет,Нет,Нет,0,Бизнес,Да,Редко,-,Музыка,48,Нет,4.331062266646126,Черный,Нет,0
Борисова Ольга Андреевна,I,Пицца,Да,Нет,-,0,Путешествия,Да,Ежедневно,Да,Спортивные игры,86,Нет,4.774345373641749,Желтый,Да,1
Новиков Иван Ильич,II,Салат,Нет,Да,Да,5,Бизнес,Нет,Несколько раз в неделю,Да,Туризм,68,Нет,4.323002877214754,Синий,Да,1
Федоров Егор Владимирович,I,Суши,Да,Нет,Нет,0,Наука,Да,Несколько раз в неделю,Нет,Туризм,40,Да,4.404493539094407,Желтый,Да,0
Морозов Вячеслав Дмитриевич,III,Бургер,Нет,Нет,Нет,5,Бизнес,Нет,Несколько раз в неделю,Нет,Кино,63,Нет,4.558993781201678,Желтый,Нет,0
Федорова Татьяна Олеговна,IV,Суши,Нет,Нет,Да,0,Бизнес,Нет,Несколько раз в неделю,Нет,Кино,51,Нет,4.933960336754119,Желтый,Нет,0
Козлов Максим Алексеевич,II,Пицца,Да,-,Нет,3,Карьерный рост,-,Ежедневно,-,Чтение,82,Нет,4.186700428946224,Красный,Нет,0
Соловьев Максим Вячеславович,III,Роллы,Нет,Нет,Да,5,Наука,Нет,Несколько раз в неделю,Да,Кино,71,Да,4.523672913021583,Черный,Да,1
Васильева Анастасия Антоновна,IV,Бургер,Нет,Да,Да,0,Путешествия,Да,Несколько раз в неделю,Да,Музыка,51,Да,4.319457738706324,Зеленый,Да,1
Сидорова Юлия Георгиевна,I,Суши,Да,Нет,Нет,4,Семья,Нет,Ежедневно,Да,Чтение,73,Да,4.750899547371582,Красный,Нет,0
Григорьев Роман Павлович,II,Пицца,Нет,Да,Да,5,Путешествия,Да,Редко,Да,Туризм,44,Да,4.622753766113445,Красный,Нет,1
Зайцева Алиса Константиновна,II,Суши,Да,Нет,Да,5,Семья,Да,Ежедневно,-,Кино,98,Да,4.439057397515874,Желтый,Нет,1
Васильев Олег Георгиевич,I,Салат,Да,Да,-,3,Наука,Нет,Ежедневно,Нет,Музыка,79,Нет,4.681214947262954,Синий,Нет,1
Попова Екатерина Павловна,III,Бургер,Нет,Да,Да,2,Бизнес,Да,Ежедневно,Да,Чтение,90,Да,4.504816451402419,Желтый,Да,1
Новиков Павел Олегович,I,Суши,Нет,Нет,Да,4,Бизнес,Нет,Редко,Да,Чтение,67,Нет,4.134191356065791,Зеленый,Да,1
Васильева Алёна Андреевна,I,Роллы,Да,Нет,Да,4,Карьерный рост,Нет,Несколько раз в неделю,Да,Туризм,82,Да,4.89511481625515,Черный,Да,1
Борисова Юлия Юрьевна,I,Салат,Нет,Нет,Нет,5,Семья,-,Редко,Нет,Туризм,79,Да,4.009507225863298,Красный,Нет,0
Попов Егор Алексеевич,III,Суши,Да,-,Да,3,Семья,Нет,Редко,Нет,Спортивные игры,59,Нет,4.176324138655932,Зеленый,Да,0
Романов Павел Артурович,IV,Бургер,Нет,Да,Да,4,Карьерный рост,Да,Редко,Да,Кино,80,Да,4.506860997829463,Синий,Да,1
Попова Алиса Ильинична,III,Бургер,Нет,Да,Да,3,Путешествия,Нет,Ежедневно,Да,Музыка,44,-,4.369038073954046,Зеленый,Нет,1
Смирнов Сергей Алексеевич,I,Салат,Нет,-,Нет,5,Бизнес,-,Несколько раз в неделю,Да,Туризм,57,Нет,4.671535997006265,Желтый,Нет,0
Попов Егор Владимирович,III,Бургер,Да,Нет,Да,0,Наука,Да,Ежедневно,Да,Спортивные игры,62,Нет,4.204490271323788,Зеленый,Да,1
Федоров Дмитрий Дмитриевич,IV,Пицца,Нет,Да,Да,5,Бизнес,-,Ежедневно,Да,Туризм,84,Да,4.356615562280515,Черный,Нет,1
Иванов Константин Дмитриевич,I,Салат,Да,Нет,Да,3,Семья,Нет,Несколько раз в неделю,Да,Туризм,93,Нет,4.054048774278233,Зеленый,Нет,1
Морозов Егор Владимирович,III,Пицца,Нет,-,Нет,5,Путешествия,Нет,Несколько раз в неделю,Да,Чтение,80,Да,4.4213737515033165,Желтый,Нет,0
Иванова Ольга Георгиевна,II,Роллы,Нет,Да,Да,2,Путешествия,Нет,Ежедневно,Да,Спортивные игры,73,Да,4.381243314616921,Синий,Нет,1
Сидорова Мария Максимовна,IV,Роллы,Да,-,-,3,Бизнес,Нет,Несколько раз в неделю,Нет,Чтение,72,Да,4.711337208293486,Желтый,Да,0
Козлова Алёна Константиновна,IV,Пицца,Да,-,Нет,1,Наука,Да,Редко,Нет,Спортивные игры,97,Нет,4.2150759452638376,Красный,Да,0
Соколова Светлана Георгиевна,I,Пицца,Да,-,Да,2,Наука,Да,Редко,Да,Кино,90,Да,4.351358554157796,Красный,Да,1
Васильева Зоя Константиновна,II,Салат,Да,Нет,Нет,3,Наука,Нет,Несколько раз в неделю,Да,Музыка,78,Нет,4.362259591595193,Синий,Нет,0
Лебедев Дмитрий Вячеславович,II,Роллы,Да,Да,Да,4,Путешествия,Да,Редко,Да,Спортивные игры,53,Нет,4.988346691140107,Черный,Нет,1
Кузнецов Юрий Павлович,II,Роллы,Нет,Нет,-,4,Карьерный рост,Нет,Редко,Да,Музыка,68,Да,4.530160328645477,Синий,Нет,0
Смирнова Валерия Николаевна,II,Пицца,Да,Нет,Нет,5,Путешествия,-,Ежедневно,Да,Туризм,89,Да,4.5573822064779925,Черный,Да,1
Федорова Алиса Георгиевна,III,Суши,Да,Да,Да,0,Путешествия,Нет,Редко,Нет,Спортивные игры,94,Да,4.972184988430782,Зеленый,Да,1
Кузнецов Дмитрий Николаевич,IV,Суши,Да,Нет,-,0,Семья,Да,Несколько раз в неделю,-,Кино,61,Да,4.645457959341576,Синий,Нет,0
Зайцев Максим Олегович,IV,Бургер,Нет,Нет,Нет,3,Карьерный рост,Да,Редко,Нет,Музыка,51,Да,4.966275128502196,Черный,Нет,0
Сидоров Николай Олегович,IV,Роллы,Нет,Нет,-,0,Путешествия,Нет,Несколько раз в неделю,Нет,Туризм,75,Нет,4.7082517543086375,Синий,Нет,0
Васильев Антон Антонович,I,Бургер,Нет,Нет,Да,4,Семья,Да,Ежедневно,Да,Музыка,65,Нет,4.780426147172146,Зеленый,Нет,1
Федоров Виктор Георгиевич,II,Пицца,Да,Нет,Да,5,Семья,Да,Несколько раз в неделю,Нет,Кино,95,Нет,4.374788067542642,Красный,Да,1
Федоров Вячеслав Георгиевич,II,Роллы,Да,Нет,Да,3,Карьерный рост,Да,Ежедневно,Да,Музыка,49,Да,4.4133378122326965,Зеленый,Да,1
Новикова Елена Юрьевна,III,Роллы,Нет,Да,Да,2,Наука,Нет,Редко,Нет,Музыка,79,Да,4.7392327585013945,Желтый,Да,1
Борисова Екатерина Сергеевна,III,Суши,Нет,Да,Да,3,Наука,Да,Редко,Да,Чтение,82,Да,4.585982260392688,Синий,Нет,1
Новикова Зоя Вячеславовна,I,Пицца,Да,-,Нет,2,Бизнес,Нет,Несколько раз в неделю,Нет,Музыка,54,Да,4.18246234580356,Желтый,Да,0
Кузнецова Алёна Павловна,III,Бургер,Да,Да,Нет,1,Бизнес,Да,Ежедневно,Да,Туризм,80,-,4.75830014006471,Желтый,Да,1
Петров Егор Николаевич,III,Суши,Да,Да,Да,3,Семья,-,Редко,Нет,Спортивные игры,60,-,4.398215018767943,Синий,Нет,1
Романов Олег Антонович,IV,Бургер,Нет,Нет,Нет,4,Карьерный рост,Нет,Ежедневно,Да,Музыка,71,Да,4.695467060089889,Желтый,Да,0
Романова Алиса Владимировна,II,Салат,-,Да,Да,0,Семья,Да,Несколько раз в неделю,-,Чтение,95,Да,4.791098604627392,Черный,Да,1
Морозова Людмила Максимовна,IV,Роллы,Да,Нет,Да,0,Наука,Да,Ежедневно,Нет,Спортивные игры,93,Нет,4.18517857730118,Синий,Нет,1
Михайлова Анастасия Максимовна,IV,Роллы,Нет,-,Нет,1,Карьерный рост,Да,Ежедневно,Нет,Кино,78,Да,4.891137623498416,Синий,Да,0
Кузнецов Андрей Дмитриевич,III,Роллы,-,Нет,Нет,5,Бизнес,Да,Несколько раз в неделю,Да,Спортивные игры,83,Да,4.5557410178786455,Красный,Да,1
Попова Светлана Ивановна,II,Салат,Нет,Нет,Нет,2,Семья,Нет,Редко,Да,Чтение,78,Да,4.396453698576834,Красный,Да,0
Сидоров Дмитрий Максимович,IV,Роллы,Да,Да,Нет,1,Семья,Да,Несколько раз в неделю,Да,Спортивные игры,94,Да,4.321651209759545,Желтый,Нет,1
Морозов Владимир Николаевич,I,Бургер,Да,Да,Нет,4,Бизнес,-,Ежедневно,Да,Чтение,48,Да,4.577111669602198,Черный,Нет,1
Козлов Егор Ильич,III,Роллы,Нет,Да,Да,4,Путешествия,Да,Редко,Да,Музыка,49,Да,4.2062298384017645,Желтый,Нет,1
Соловьева Алёна Максимовна,IV,Салат,Да,Нет,Нет,4,Путешествия,-,Редко,Нет,Туризм,54,Нет,4.110111750511576,Синий,Нет,0
Зайцев Иван Алексеевич,III,Пицца,Да,-,Да,0,Бизнес,Да,Ежедневно,-,Чтение,88,Нет,4.842943859155187,Зеленый,Да,1
Зайцев Роман Викторович,III,Роллы,Нет,Да,Да,0,Наука,Нет,Редко,Да,Музыка,73,Да,4.212389328774448,Синий,Да,1
Волков Владимир Антонович,III,Роллы,Да,Да,Нет,1,Путешествия,Нет,Несколько раз в неделю,Да,Туризм,70,Нет,4.454811205068094,Желтый,Нет,0
Федоров Роман Максимович,III,Роллы,-,Нет,Нет,4,Карьерный рост,-,Редко,Нет,Чтение,77,Да,4.100440455648672,Зеленый,Нет,0
Попова Ксения Владимировна,IV,Роллы,-,Да,Да,2,Карьерный рост,Нет,Ежедневно,-,Чтение,99,Да,4.941099761754672,Желтый,Нет,1
Федорова Валерия Вячеславовна,II,Пицца,Да,Нет,Да,0,Путешествия,Нет,Ежедневно,Да,Кино,43,Нет,4.214668020328389,Красный,Да,0
Лебедев Сергей Георгиевич,II,Роллы,Нет,Да,-,5,Бизнес,Нет,Несколько раз в неделю,Нет,Кино,97,Нет,4.498796071390204,Желтый,Да,0
Зайцев Антон Дмитриевич,I,Салат,Да,Нет,Да,2,Бизнес,Нет,Ежедневно,Да,Туризм,45,Да,4.120409113478787,Красный,Нет,1
Иванова Ольга Викторовна,II,Салат,Нет,Нет,Нет,3,Семья,Да,Редко,Да,Спортивные игры,45,Нет,4.303176082080191,Зеленый,Нет,0
Григорьева Дарья Дмитриевна,III,Бургер,-,Нет,-,0,Семья,Да,Ежедневно,Нет,Спортивные игры,50,-,4.588523925762997,Зеленый,Нет,0
Новиков Илья Юрьевич,II,Салат,Нет,Да,Нет,4,Карьерный рост,Да,Редко,Нет,Кино,48,Да,4.5181192137725645,Зеленый,Да,0
Волкова Ольга Романовна,IV,Суши,Да,Нет,Нет,4,Путешествия,Да,Несколько раз в неделю,Нет,Чтение,87,Нет,4.92567528292668,Черный,Да,0
Михайлова Алёна Артуровна,II,Салат,-,Нет,Да,0,Бизнес,Нет,Несколько раз в неделю,Нет,Спортивные игры,72,Нет,4.7337638980273695,Желтый,Да,0
Соколова Елена Павловна,IV,Роллы,Нет,-,Нет,0,Семья,Нет,Несколько раз в неделю,Нет,Музыка,88,-,4.652121513548135,Черный,Да,0
Михайлова Надежда Артуровна,I,Пицца,Да,Да,Нет,1,Карьерный рост,Нет,Редко,-,Музыка,75,Нет,4.76196150640579,Желтый,Да,0
Петров Алексей Вячеславович,II,Суши,Нет,Нет,Нет,3,Семья,-,Ежедневно,Да,Спортивные игры,54,Нет,4.199089712291324,Красный,Нет,0
Смирнова Зоя Олеговна,IV,Бургер,Да,-,Да,4,Наука,Нет,Несколько раз в неделю,-,Чтение,41,Нет,4.457308510153353,Черный,Нет,0
Новикова Татьяна Антоновна,IV,Пицца,Да,-,Да,5,Путешествия,Нет,Несколько раз в неделю,Нет,Кино,75,Да,4.0346182293513895,Черный,Да,1
Кузнецова Алиса Артуровна,III,Пицца,Да,Да,Нет,0,Карьерный рост,Да,Несколько раз в неделю,Да,Музыка,57,Нет,4.638309859730983,Красный,Да,1
Смирнов Павел Викторович,IV,Суши,Нет,-,Да,1,Наука,Да,Несколько раз в неделю,Да,Музыка,56,Нет,4.795104912997034,Желтый,Да,1
Новиков Егор Артурович,IV,Пицца,Нет,Нет,Да,3,Наука,-,Редко,Нет,Чтение,75,Нет,4.216313394293371,Синий,Нет,0
Попов Алексей Юрьевич,I,Салат,Нет,Да,Нет,3,Наука,-,Несколько раз в неделю,Нет,Чтение,90,Нет,4.232359473333927,Черный,Да,0
Кузнецов Юрий Иванович,IV,Пицца,Да,Да,Нет,4,Бизнес,Да,Ежедневно,Нет,Чтение,54,Нет,4.820932496339741,Желтый,Да,0
Попов Дмитрий Сергеевич,I,Пицца,Нет,Нет,Нет,2,Бизнес,Да,Редко,Нет,Музыка,78,Нет,4.447525122941414,Желтый,Нет,0
Романова Алёна Вячеславовна,III,Роллы,Нет,Нет,Нет,3,Карьерный рост,Нет,Редко,Да,Спортивные игры,86,Да,4.274473251213608,Желтый,Да,0
Смирнов Георгий Юрьевич,I,Салат,Да,Нет,Да,4,Семья,Нет,Несколько раз в неделю,Нет,Чтение,88,Да,4.232706536841532,Черный,Нет,1
Попова Зоя Сергеевна,III,Роллы,Нет,-,Да,3,Карьерный рост,Нет,Несколько раз в неделю,Да,Музыка,85,Да,4.80149022584505,Красный,Да,1
Попов Егор Георгиевич,I,Роллы,Да,Нет,Нет,4,Карьерный рост,Нет,Ежедневно,Нет,Туризм,74,Да,4.871082575629405,Зеленый,Да,0
Новиков Дмитрий Алексеевич,III,Пицца,Да,Нет,Да,1,Бизнес,Да,Несколько раз в неделю,-,Чтение,80,Нет,4.8442213999717465,Черный,Да,1
Кузнецова Анастасия Николаевна,II,Салат,Нет,-,Нет,2,Бизнес,Да,Несколько раз в неделю,Да,Туризм,58,Да,4.816107543975981,Синий,Да,0
Борисова Алиса Владимировна,IV,Пицца,Нет,Да,Да,3,Наука,Нет,Ежедневно,Да,Чтение,56,Да,4.684617238138261,Желтый,Нет,1
Сидоров Антон Олегович,III,Бургер,Да,Да,Да,4,Наука,Нет,Ежедневно,Да,Туризм,66,-,4.881832948372484,Желтый,Нет,1
Соловьева Ольга Максимовна,IV,Пицца,Нет,Нет,Нет,3,Наука,Нет,Редко,Нет,Туризм,69,Нет,4.622437067169597,Черный,Да,0
Зайцев Павел Георгиевич,II,Суши,-,Нет,Да,3,Путешествия,Нет,Редко,-,Туризм,69,Да,4.666587226617406,Желтый,Да,1
Борисова Мария Артуровна,IV,Суши,Нет,Нет,Нет,4,Наука,Да,Несколько раз в неделю,Нет,Чтение,56,Да,4.663317133155278,Красный,Нет,0
